Names,Frequency,Years,Gender,Rank
SOPHIA,3549,2011,F,357.0
JACOB,3548,1998,M,358.0
JOSE,3546,2002,M,359.0
ASHLEY,3541,1993,F,360.0
MICHELLE*,3541,1970,F,360.0
ANDREW,3540,1996,M,362.0
ANGEL,3539,2007,M,363.0
JOSE,3538,1988,M,364.0
MICHAEL,3538,2000,M,364.0
JOSEPH,3534,1990,M,366.0
ROBERT,3534,1984,M,366.0
DANIEL,3533,1979,M,368.0
ANDREW,3527,1997,M,369.0
KEVIN,3526,1991,M,370.0
ANDREW,3523,2002,M,371.0
JENNIFER,3523,1991,F,371.0
MATTHEW,3521,1994,M,373.0
CHRISTOP*,3518,1969,M,374.0
JOSEPH,3513,1991,M,375.0
JOSHUA,3509,1994,M,376.0
JONATHAN,3507,1988,M,377.0
JONATHAN,3507,1993,M,377.0
RYAN,3506,1989,M,379.0
AMANDA,3503,1986,F,380.0
MATTHEW,3502,1995,M,381.0
RYAN,3502,1986,M,381.0
JACOB,3501,2000,M,383.0
ROBERT,3498,1973,M,384.0
LISA,3497,1961,F,385.0
ROBERT,3492,1980,M,386.0
KEVIN,3489,1992,M,387.0
JENNIFER,3485,1989,F,388.0
ROBERT,3477,1974,M,389.0
ANDREW,3471,2004,M,390.0
DAVID,3459,1999,M,391.0
NICHOLAS,3457,1990,M,392.0
DAVID,3449,1998,M,393.0
JOSHUA,3449,1995,M,393.0
SOPHIA,3447,2013,F,395.0
JACOB,3445,1999,M,396.0
RYAN,3444,1987,M,397.0
ANDREW,3443,2003,M,398.0
STEPHANIE,3442,1989,F,399.0
JAMES,3441,1972,M,400.0
ROBERT,3438,1979,M,401.0
ROBERT,3437,1975,M,402.0
JOSHUA,3435,1986,M,403.0
MARK,3433,1965,M,404.0
JOHN,3432,1972,M,405.0
ANDREW,3430,1998,M,406.0
ANTHONY,3424,1987,M,407.0
MICHELLE*,3424,1967,F,407.0
DANIEL,3422,1978,M,409.0
ANDREW,3421,1985,M,410.0
ANDREW,3420,2001,M,411.0
JENNIFER*,3420,1969,F,411.0
JOSE,3419,2001,M,413.0
MATTHEW,3413,1998,M,414.0
JOSHUA,3406,1984,M,415.0
JASON,3403,1983,M,416.0
RYAN,3403,1984,M,416.0
