Names,Frequency,Years,Gender,Rank
NIXON ,28,2022,M,548.0
ROBERT ,28,2022,M,548.0
RYDER ,28,2022,M,548.0
SIENNA ,28,2021,F,548.0
SUMMER ,28,2021,F,548.0
TALIA ,28,2021,F,548.0
TATE ,28,2021,M,548.0
YUSUF ,28,2022,M,548.0
AALIYAH,27,2021,F,578.0
ANTHONY ,27,2022,M,578.0
AUTUMN ,27,2022,F,578.0
BENTLEY ,27,2021,M,578.0
BRIAR ,27,2022,F,578.0
BRYNLEE ,27,2021,F,578.0
COLE ,27,2022,M,578.0
DAISY ,27,2022,F,578.0
EMERSYN ,27,2022,F,578.0
IRIS ,27,2022,F,578.0
JASON ,27,2021,M,578.0
JONAH ,27,2021,M,578.0
JUNIPER ,27,2021,F,578.0
KADE ,27,2021,M,578.0
KADE ,27,2022,M,578.0
LILLY ,27,2021,F,578.0
LYLA ,27,2021,F,578.0
MARYAM,27,2021,F,578.0
MIRA,27,2022,F,578.0
NORAH ,27,2021,F,578.0
SKYLAR ,27,2021,F,578.0
SULLIVAN ,27,2022,M,578.0
SUMMER ,27,2022,F,578.0
TOBIAS ,27,2022,M,578.0
TYSON ,27,2021,M,578.0
VINCENT ,27,2022,M,578.0
ZARA,27,2022,F,578.0
ZION ,27,2021,M,578.0
ADELINE ,26,2022,F,606.0
AMBER ,26,2021,F,606.0
CALLUM ,26,2022,M,606.0
CAMERON ,26,2022,M,606.0
CHRISTOPHER ,26,2021,M,606.0
CHRISTOPHER ,26,2022,M,606.0
ELIZA ,26,2021,F,606.0
ELLIOTT ,26,2021,M,606.0
FATIMA ,26,2021,F,606.0
HEIDI ,26,2021,F,606.0
JESSE ,26,2021,M,606.0
JOSIAH ,26,2022,M,606.0
KIAN,26,2022,M,606.0
KIAN ,26,2021,M,606.0
LANDON ,26,2022,M,606.0
LOUIS ,26,2022,M,606.0
MACKENZIE ,26,2022,F,606.0
MADDOX ,26,2022,M,606.0
MARGARET ,26,2021,F,606.0
MYA ,26,2021,F,606.0
NIXON ,26,2021,M,606.0
OCTAVIA ,26,2022,F,606.0
RAPHAEL ,26,2021,M,606.0
ROSALIE ,26,2022,F,606.0
RYLEE ,26,2022,F,606.0
SAGE ,26,2021,F,606.0
TESSA ,26,2021,F,606.0
TIMOTHY ,26,2021,M,606.0
TRISTAN ,26,2022,M,606.0
TUCKER ,26,2021,M,606.0
VIENNA ,26,2021,F,606.0
XANDER ,26,2021,M,606.0
YUSUF,26,2021,M,606.0
AJOONI ,25,2022,F,639.0
ALIYAH ,25,2021,F,639.0
ARIANA ,25,2022,F,639.0
ASEES ,25,2022,F,639.0
BRYNN ,25,2021,F,639.0
DELILAH ,25,2022,F,639.0
EDWARD ,25,2021,M,639.0
ELISE ,25,2021,F,639.0
ELSIE ,25,2022,F,639.0
FLORENCE ,25,2021,F,639.0
FRANKIE ,25,2021,F,639.0
GRIFFIN ,25,2021,M,639.0
KAIA ,25,2022,F,639.0
KANE ,25,2022,M,639.0
KINGSTON ,25,2021,M,639.0
LUKAS ,25,2022,M,639.0
MYLA ,25,2021,F,639.0
RAYA ,25,2022,F,639.0
REMI ,25,2022,F,639.0
WILLA ,25,2021,F,639.0
YARA,25,2022,F,639.0
ABEL ,24,2021,M,660.0
ADRIAN ,24,2022,M,660.0
ALYSSA ,24,2021,F,660.0
ARJAN ,24,2022,M,660.0
BLAKE ,24,2022,M,660.0
BRAXTON ,24,2021,M,660.0
BRIANNA ,24,2021,F,660.0
BRINLEY ,24,2022,F,660.0
BROOKE ,24,2021,F,660.0
DAXTON ,24,2021,M,660.0
EMBER ,24,2021,F,660.0
HEIDI ,24,2022,F,660.0
IAN ,24,2021,M,660.0
IAN ,24,2022,M,660.0
JESSE ,24,2022,M,660.0
JETT ,24,2021,M,660.0
JUDAH ,24,2022,M,660.0
KENNEDY ,24,2021,F,660.0
LOCHLAN ,24,2021,M,660.0
LOCHLAN ,24,2022,M,660.0
NICHOLAS ,24,2022,M,660.0
OCTAVIA ,24,2021,F,660.0
OPHELIA ,24,2021,F,660.0
RACHEL ,24,2022,F,660.0
REMY ,24,2021,M,660.0
ROSALIE ,24,2021,F,660.0
ROWAN ,24,2021,F,660.0
SAGE ,24,2022,F,660.0
SAMANTHA,24,2021,F,660.0
SARA,24,2022,F,660.0
SELENA,24,2022,F,660.0
SIENNA,24,2022,F,660.0
SULLIVAN ,24,2021,M,660.0
TALIA ,24,2022,F,660.0
TYLER ,24,2022,M,660.0
XANDER ,24,2022,M,660.0
AARAV ,23,2021,M,696.0
ADALYNN ,23,2021,F,696.0
AYA,23,2021,F,696.0
AYAAN,23,2022,M,696.0
CALLIE ,23,2022,F,696.0
DEAN ,23,2021,M,696.0
DYLAN ,23,2021,M,696.0
EDEN ,23,2021,F,696.0
EDEN ,23,2022,F,696.0
ELSIE ,23,2021,F,696.0
EMERY ,23,2021,F,696.0
ESME ,23,2022,F,696.0
EVIE ,23,2021,F,696.0
HOLDEN ,23,2021,M,696.0
JASMINE ,23,2022,F,696.0
